kepid,mass,radius,teff,bp_rp,lum_val,e_bp_min_rp_interp,e_bp_min_rp_val,rrmscdpp04p5
10000797,0.854,1.397,5875.8,0.79298496,2.1086281499332893,0.13391170685812054,0.206,68.34
10000800,0.871,0.872,5362.8,0.98207283,0.5701642722807475,0.1278106559099918,0.078,200.749
10000827,0.921,0.962,5390.0,0.9772148,0.7079457843841379,0.1097437566511233,0.1235,104.819
10000876,0.822,0.847,5118.3,1.1104078,0.44668359215096315,0.08047898435056913,0.13,88.832
10000939,0.624,0.607,4258.9,1.544404,0.11066237839776664,0.17935663121769643,0.138,275.164
10000941,0.813,0.765,4871.8,1.165803,0.29785164294291894,0.05430496528122409,0.109,81.692
10000962,0.836,0.795,5299.5,1.0159454,0.45081670454146017,0.07715238086475155,0.004,91.893
10000976,0.897,0.909,5463.1,0.98975754,0.6652731562017413,0.09341915074417198,0.109,118.563
10001000,0.778,0.765,4906.6,1.2165956,0.30690219883911574,0.11470158593600382,0.1363,183.011
10001045,1.272,1.734,6206.5,0.7358217,4.045758916974426,0.2309680511879896,NaN,59.195
10001085,1.01,1.475,5643.4,0.92138195,2.009092812608728,0.3244317762504449,0.577,226.828
10001116,0.873,0.828,5301.6,1.0066433,0.4920395356814509,0.06186326949399441,0.033,101.233
10001129,0.784,0.784,4903.0,1.1986103,0.3213660538640317,0.144448788167919,0.137,224.627
10001142,0.796,0.783,5013.8,1.1276274,0.34994516702835726,0.14489934634138948,0.0805,243.334
10000069,0.905,1.003,5507.1,0.9565468,0.8413951416451951,0.16218082437213469,0.1103,162.647
10000083,1.246,1.897,6005.1,0.9082222,4.2364296604954115,0.3267572047425002,NaN,142.471
10000255,1.238,1.5,6100.1,0.7924719,2.8510182675039095,0.11172523621145361,0.309,55.149
10000285,0.959,1.045,5688.6,0.8983221,1.0375284158180127,0.16157268687076987,0.1243,149.232
10000344,1.029,1.289,5802.4,0.87225246,1.7060823890031236,0.24007190181269525,0.193,176.429
10000441,1.129,1.411,5983.8,0.78431416,2.3173946499684783,0.09745837124891533,NaN,44.458
10000500,0.625,0.607,4270.4,1.51192,0.11194378834671516,0.1253178525016325,0.143,133.315
10000551,1.004,1.057,5827.2,0.9076681,1.169499391019871,0.18318079158479883,0.164,158.658
10000612,0.95,1.131,5638.2,0.92015934,1.1748975549395295,0.20963613706918474,NaN,189.928
10000620,1.005,1.338,5721.8,0.8567171,1.7378008287493754,0.0819094839198547,0.198,46.608
10000661,0.7,0.68,4595.8,1.2928543,0.18706821403658005,0.08121825226728162,0.063,99.451
10000724,0.944,0.94,5650.7,0.8696747,0.8165823713585925,0.07322146784306718,0.0213,73.684
10121766,0.795,0.761,5040.7,1.0716562,0.3380648362059816,0.0412737848864983,0.015,71.668
10121816,0.835,0.834,5188.3,1.0310822,0.457088189614875,0.07064031558229918,0.041,90.893
10121916,0.983,0.958,5828.5,0.8593159,0.9571940712948445,0.0890701547467391,0.0515,75.676
10122038,0.878,1.166,5331.7,1.0713882,1.0023052380778996,0.22687545896741876,NaN,259.145
10122122,0.875,0.898,5376.6,1.004324,0.6095368972401691,0.08881375122592734,0.0735,104.782
10129538,0.972,1.291,5672.6,0.8671341,1.563147642640954,0.18763492576340574,0.2185,125.73
10129675,0.796,0.841,4809.7,1.3137159,0.34276778654645035,0.10576525072004075,0.3153,103.818
10129779,0.877,1.229,5801.0,0.8107548,1.5488166189124815,0.14290267189718514,0.154,92.797
10129793,0.976,1.46,5559.0,0.9197378,1.8492686189780783,0.24949011442550847,0.4063,163.349
10004794,0.854,1.0,5135.8,1.1940098,0.6309573444801932,0.19633239352748513,0.368,228.319
10004804,0.841,1.002,5244.6,1.1361628,0.688652296344276,0.19270393127450738,NaN,248.128
10004864,0.999,1.048,6092.0,0.7286444,1.3740419750125152,0.13339258465599071,0.0377,52.484
10004928,1.036,1.271,5833.2,0.86515236,1.6943378004473284,0.174098222076672,0.1837,110.954
10004945,1.129,1.402,6264.5,0.72473717,2.7542287033381663,0.17863371504716677,0.0893,54.126
10004962,1.142,1.499,5962.5,0.85410786,2.564484036517717,0.27854658110285846,0.4165,155.331
10010958,0.857,0.867,5301.7,1.1125021,0.5395106225151276,0.1616961614732071,0.162,260.341
10010975,1.127,1.379,6005.5,0.85200596,2.2387211385683394,0.22654167128887842,0.2467,184.376
10010990,1.022,1.164,5842.6,0.95977306,1.4321878992735435,0.2284522339821893,0.344,251.919
10010992,0.75,0.712,5079.6,1.1169605,0.3054921113215513,0.12120162185054796,0.0367,402.392
10010994,1.273,1.585,6140.3,0.76570797,3.2284941217126355,0.16612892618891903,0.252,78.864
10011038,0.695,0.684,4438.3,1.4785995,0.16405897731995392,0.1771369324269655,NaN,202.89
10011070,0.839,0.797,5306.5,1.0109549,0.4518559443749224,0.09315434315167168,0.0423,170.63
10011078,1.008,0.983,5723.0,0.905015,0.9375620069258802,0.12505910716952792,0.1015,143.102
10011090,0.99,1.46,5921.6,0.8612213,2.3768402866248763,0.2565449570508932,0.4663,177.028
10018391,1.166,1.258,5893.8,0.9069805,1.721868574986007,0.15656178240205476,0.2137,106.881
10018467,0.735,0.732,4560.4,1.4358234,0.20941124558508925,0.22205320311217436,0.203,231.714
10018573,0.711,0.692,4612.0,1.3705864,0.1963360276836047,0.14685431289303985,0.0643,178.128
10018602,1.101,1.088,5841.8,0.9011297,1.247383514242943,0.1198171966331043,0.171,97.258
10018619,0.878,0.874,5388.1,1.0269918,0.5821032177708715,0.08785493829329837,0.086,121.125
10018676,0.986,0.989,5805.5,0.88239384,1.0069316688518042,0.16184241620050135,0.0703,154.611
10018699,1.019,1.003,5952.6,0.84011936,1.1455129414455356,0.18618277700921007,0.0593,166.365
10024297,0.81,0.759,5381.3,1.0467176,0.4385306977749857,0.11355160424139392,0.0487,204.302
10024304,1.029,1.295,5800.8,0.9624119,1.721868574986007,0.20688726375595987,0.306,164.282
10024420,1.022,1.41,5723.6,0.89460754,1.931968317016924,0.20572133852538718,0.245,151.951
10024461,0.837,0.862,5201.5,1.1129799,0.49431068698683545,0.1696198926846072,0.144,228.91
10028140,0.815,0.775,5240.1,1.1195574,0.40926065973001086,0.1236042492920869,0.015,185.112
10028164,1.024,1.073,5892.4,0.9467859,1.2589254117941673,0.19685271852066596,NaN,203.741
10028266,1.118,1.252,6113.4,0.8836489,1.9906733389871867,0.29987412955705367,0.3685,289.013
10028273,1.14,1.289,6119.1,0.88315964,2.1086281499332893,0.15793124788434762,0.3163,110.795
10028292,0.876,1.092,5367.9,0.96765137,0.9015711376059569,0.12085931450584982,0.235,121.607
10028407,1.166,1.491,6027.1,0.90009785,2.63633138582538,0.28162766851389115,NaN,187.199
