kepid,mass,radius,teff,bp_rp,e_bp_min_rp_interp,e_bp_min_rp_val,rrmscdpp04p5
10000797,0.968,1.3550892,5962,0.79298496,0.1338024951025604,0.206,68.34
10000800,0.965,0.9133894,5287,0.98207283,0.1279095868409342,0.078,200.749
10000827,0.939,0.99589604,5353,0.9772148,0.10983085944948523,0.1235,104.819
10000876,0.849,0.86952025,5027.5464,1.1104078,0.08092138510002551,0.13,88.832
10000939,0.564,0.55401677,4430,1.544404,0.17954723088478525,0.138,275.164
10000941,0.798,0.77443004,4956,1.165803,0.05433418334346418,0.109,81.692
10000962,0.869,0.78332186,5305.5,1.0159454,0.07702861992488459,0.004,91.893
10000976,0.972,0.9529344,5323.1,0.98975754,0.09335780962977791,0.109,118.563
10001000,0.768,0.73986894,4945.58,1.2165956,0.11504398344038824,0.1363,183.011
10001045,1.157,1.6702535,6250,0.7358217,0.230441969055083,NaN,59.195
10001085,1.132,1.7092918,5403,0.92138195,0.3260730108604291,0.577,226.828
10001116,0.876,0.8096578,5324.5,1.0066433,0.061596042368461286,0.033,101.233
10001129,0.823,0.78501815,4897,1.1986103,0.14472946218995733,0.137,224.627
10001142,0.848,0.79014695,4978,1.1276274,0.145299640649561,0.0805,243.334
10000069,1.049,1.0554166,5412,0.9565468,0.16201591610865712,0.1103,162.647
10000083,1.031,2.3336728,5442,0.9082222,0.3278100387409439,NaN,142.471
10000255,1.145,1.5619825,5925,0.7924719,0.11162501668805956,0.309,55.149
10000285,1.117,1.1106759,5482,0.8983221,0.1618467828201707,0.1243,149.232
10000344,0.971,1.2660047,5748,0.87225246,0.23946741986854775,0.193,176.429
10000441,1.074,1.4356515,5929,0.78431416,0.0972605111992496,NaN,44.458
10000500,0.557,0.5569252,4459,1.51192,0.12545102594944388,0.143,133.315
10000551,1.021,1.1988348,5482,0.9076681,0.18375319867139972,0.164,158.658
10000612,0.951,1.2048918,5422,0.92015934,0.21067918354316967,NaN,189.928
10000620,1.073,1.342222,5725.4,0.8567171,0.08179565993948931,0.198,46.608
10000661,0.696,0.54340136,5049,1.2928543,0.08180571627180021,0.063,99.451
10000724,1.038,0.94952697,5639,0.8696747,0.0730209773606204,0.0213,73.684
10121766,0.754,0.68360215,5352.185,1.0716562,0.041399798412285985,0.015,71.668
10121816,0.728,0.87084943,5142,1.0310822,0.07104045460048608,0.041,90.893
10121916,0.902,0.96121275,5713,0.8593159,0.08889781237553851,0.0515,75.676
10122038,0.973,1.2876741,5038.82,1.0713882,0.22756066227779814,NaN,259.145
10122122,0.876,0.8861145,5316.55,1.004324,0.08843146108949072,0.0735,104.782
10129538,0.855,1.2775925,5742.75,0.8671341,0.18710940341067916,0.2185,125.73
10129675,0.53,0.71725106,5003.3335,1.3137159,0.10660180975168881,0.3153,103.818
10129779,0.879,1.1865869,5870,0.8107548,0.14324412127467803,0.154,92.797
10129793,0.882,1.5981345,5440.25,0.9197378,0.2507227131476189,0.4063,163.349
10004794,0.847,1.0581881,4967.66,1.1940098,0.1966657713918544,0.368,228.319
10004796,0.892,0.93960494,5213.8696,1.0202188,0.14311600889356074,0.141,143.544
10004804,0.746,1.0697361,5012,1.1361628,0.19301512212851113,NaN,248.128
10004864,1.119,1.000626,6238,0.7286444,0.13317645582951917,0.0377,52.484
10004928,0.98,1.2459071,5791.3335,0.86515236,0.1736246656009912,0.1837,110.954
10004945,1.146,1.3227558,6274,0.72473717,0.17841619801956948,0.0893,54.126
10004962,1.14,1.6168518,5770,0.85410786,0.27833348883746967,0.4165,155.331
10010958,0.969,0.92497283,4999.17,1.1125021,0.16253733957465563,0.162,260.341
10010975,1.072,1.4048203,5759,0.85200596,0.226490202981932,0.2467,184.376
10010990,0.952,1.3446499,5368,0.95977306,0.22822895106947388,0.344,251.919
10010992,0.727,0.6887639,5088.0938,1.1169605,0.12174815023252199,0.0367,402.392
10010994,1.159,1.6716273,5924.5,0.76570797,0.1655723597542607,0.252,78.864
10011023,0.843,1.1866151,5034.3335,1.0932732,0.1151835089864601,0.3598,119.7
10011038,0.658,0.7218029,4427.5,1.4785995,0.17751142147140653,NaN,202.89
10011070,0.929,0.7987006,5313,1.0109549,0.09282335928041532,0.0423,170.63
10011078,1.035,1.0508891,5479,0.905015,0.1253938464640792,0.1015,143.102
10011090,1.107,1.4917942,5840,0.8612213,0.2559631176665622,0.4663,177.028
10018391,1.05,1.4106005,5471,0.9069805,0.15703228317761636,0.2137,106.881
10018467,0.718,0.66931397,4640.2925,1.4358234,0.2233145066569459,0.203,231.714
10018573,0.719,0.61710733,4789.157,1.3705864,0.14806250000544002,0.0643,178.128
10018602,1.153,1.0748509,5774.9233,0.9011297,0.12006743702247244,0.171,97.258
10018619,0.989,0.9656325,5115.91,1.0269918,0.08821131566806482,0.086,121.125
10018676,1.104,0.9264968,5855.3335,0.88239384,0.16171761793642703,0.0703,154.611
10018699,1.137,1.0022058,5831.25,0.84011936,0.18665970543802615,0.0593,166.365
10024297,0.977,0.69830084,5426.3726,1.0467176,0.11417215452303243,0.0487,204.302
10024304,1.114,1.4808961,5366,0.9624119,0.20671851481844972,0.306,164.282
10024420,1.122,1.4403349,5572,0.89460754,0.205966800666569,0.245,151.951
10024461,0.977,0.9181171,5028.025,1.1129799,0.17049032925282492,0.144,228.91
10028140,0.828,0.84379345,4997.4297,1.1195574,0.12410875770747817,0.015,185.112
10028164,1.117,1.1871258,5471,0.9467859,0.19688378256794675,NaN,203.741
10028266,1.232,1.4897245,5579.99,0.8836489,0.2997171019011039,0.3685,289.013
10028273,1.093,1.396026,5690,0.88315964,0.1578334086661066,0.3163,110.795
10028292,0.899,1.1325665,5379.5,0.96765137,0.12083254154049972,0.235,121.607
10028399,0.782,0.6705955,4968.16,1.2479134,0.14963317706834323,0.0643,221.047
10028407,0.994,1.7535231,5487.74,0.90009785,0.282174641527507,NaN,187.199
10033272,0.715,0.7192141,4848.5303,1.3138084,0.20160435293773138,0.244,405.967
10033388,0.952,1.1639107,5420,0.93084335,0.038066331452697624,0.1503,40.085
10033400,1.028,1.1274095,5276.22,1.0166883,0.15838821854675253,0.2205,207.607
10033438,0.647,0.7886401,4975.5,1.169405,0.10355978359368605,0.107,171.773
10033462,0.553,0.6867678,4938.01,1.3516722,0.22636962787270698,0.3463,355.835
10033471,0.614,0.6296614,4221,1.6930714,0.13480372905344037,0.303,309.307
10033622,0.534,0.7035828,4793.05,1.3690815,0.12553539321110166,0.3025,157.46
10057278,0.868,0.9665945,5023,1.0967464,0.11402811937984056,NaN,136.6
10057341,0.985,0.9326187,5766,0.85524464,0.07518872456702998,0.0367,61.297
10057344,1.003,1.3537614,5806.3335,0.87946796,0.19952324317073544,0.2775,141.996
10057410,0.871,1.9110333,5744,0.86532116,0.274719631903954,NaN,131.89
10057428,0.956,1.0416838,5590.535,0.8869839,0.10364947771633756,0.0905,92.423
10064574,0.683,0.6232419,4730.63,1.4024391,0.17274121405347675,0.082,191.181
10064591,1.031,0.93765527,5845,0.81636906,0.06436847819919471,0.0213,83.381
10064613,0.747,0.6316889,4932.3335,1.1601706,0.10491915435042312,0.0085,171.036
10064620,0.859,0.8515895,5342,1.0190039,0.07529035146363636,0.086,101.683
10064704,0.659,0.5715451,4807.44,1.3809929,0.11708563522175912,0.0743,127.147
10064754,0.807,1.1569524,5302,1.0202475,0.10983463029761192,0.2845,113.063
10068659,0.941,0.8369351,5934.1226,0.8859787,0.12646404917097429,0.0135,123.551
10068745,0.941,0.6855097,5042,1.1955891,0.06116466749906713,0.006,90.196
10074909,0.936,0.95388377,4970.105,1.124486,0.11909704960930809,0.1745,139.806
10074987,0.754,1.2132674,5125.23,1.0612144,0.22728445402190783,0.322,302.18
10075009,0.968,1.1217378,5410,0.96503925,0.1514177920474644,0.235,178.698
10075024,0.987,1.0684892,5432.5,0.93632126,0.19543904642464616,0.1398,274.546
10082344,1.028,0.94874805,5361.6665,0.97465515,0.1484582996242262,0.071,227.177
10082384,1.15,0.96988153,5862.6665,0.8077669,0.07800560097758137,0.0495,89.766
10082441,1.025,1.330933,5442,0.9208584,0.25806216022138756,NaN,227.145
10082517,1.025,1.1976907,5402.6665,0.95281506,0.22042786030562947,0.2,221.745
10082519,0.694,0.5610621,4611.275,1.4505892,0.15357973193315766,0.0695,164.747
10082542,0.846,0.9693636,4951.695,1.2505732,0.17084461454960442,0.4147,176.788
10082545,1.179,1.1588092,5790.25,0.8378229,0.1685398784521529,0.1503,119.135
10082549,0.884,0.817819,5111.28,1.0618753,0.07236370979152267,0.0655,99.476
10088176,1.207,1.1288579,5730.5,0.8673992,0.21496400216168393,0.1472,192.653
10088190,1.065,1.1048843,5440,0.92173386,0.11020216245340553,0.1765,117.764
10088225,0.831,0.57974154,5003.6665,1.356946,0.20750820861766975,0.119,245.689
10088297,1.004,1.037566,5370,0.9688263,0.16108952068379934,0.165,225.83
10088383,1.038,1.0551718,5094.3335,1.0444937,0.16043130346635437,0.1865,179.027
10088444,0.828,0.81852967,5064.2134,1.0762196,0.08254519738091635,0.015,112.218
10091784,1.026,1.3763752,5339,1.0017366,0.19602165406250224,0.4123,165.882
10091809,1.287,1.1033505,6235.6665,0.7334738,0.11946870061271851,0.0333,112.198
10091818,1.154,1.1931278,5848.5,0.79915714,0.1573528894913379,0.1047,108.857
10091837,1.125,1.7808582,5547,0.8976393,0.3259184154931506,0.6873,242.057
10091848,0.974,1.7758431,5439.5,0.9183006,0.24097936911821402,NaN,149.501
10097236,0.961,1.5672865,5178,1.0469894,0.23956663858514868,0.4837,251.642
10097384,0.949,1.0212619,4960,1.1219931,0.14573686442546957,0.229,303.688
10097397,1.396,1.3719444,6393,0.68368816,0.07278420591257118,0.0987,58.898
10097467,0.722,0.8074502,4841.79,1.3287821,0.24035796697362571,0.3125,347.056
10122159,0.73,0.6186133,5086,1.2438564,0.1347879771525464,0.079,207.702
10122173,0.822,0.887406,5330.75,0.9903431,0.12609404686152967,0.0763,173.496
10122175,0.96,1.0558475,5590.77,0.87669086,0.1683433078589722,0.0853,172.792
10122235,0.811,0.71974754,5305.31,1.0545206,0.10516172082021069,0.0045,179.607
10122239,0.929,0.85619706,5789,0.83358574,0.06712545419710578,0.018,63.895
10122255,0.939,1.1646575,5744.6665,0.8708849,0.1392501533734739,0.1703,107.792
10122336,1.016,1.4467933,5742,0.8510523,0.14469059117356547,0.294,103.802
10122387,0.782,1.3155323,5069.255,1.0423527,0.2270966596974796,0.306,288.675
10129857,0.974,1.399445,5442,0.9212742,0.10572899678252305,0.279,75.417
10130039,0.957,1.0425382,5816.5,0.79778194,0.05603703826066976,0.053,49.884
10130057,0.903,0.7351302,5239.44,1.0446205,0.11683935056943658,0.008,178.97
10130071,1.058,1.8891761,5423,0.94353104,0.285762426292431,NaN,160.88
10005020,1.097,1.3547692,5376,0.96710205,0.16749680492914384,0.3035,123.885
10005048,0.732,0.6496927,4862.263,1.2996473,0.15698236854194272,0.103,195.751
10005056,1.084,1.0083469,5752,0.8563061,0.15499628248507596,0.077,139.313
10005119,1.092,1.2694087,5601.033,0.8934107,0.2075719856596314,0.2545,160.234
10005217,1.174,1.0129868,5781.3335,0.85787773,0.1676868278327469,0.1005,141.714
10011125,1.148,1.3710625,5768,0.8605852,0.25769558649192215,0.2422,202.609
10011138,0.643,0.64643604,4099.313,1.6964426,0.142608566459668,0.0947,227.874
10011213,1.025,1.0114785,5676.8203,0.8630867,0.18673610802508944,0.0467,208.833
10011306,1.114,1.3015764,5461,0.90988255,0.22859727808551922,0.2412,215.872
10011398,1.169,1.0195934,6052.25,0.7483597,0.11479976702388799,0.0372,67.809
10011524,1.157,1.1907288,5771.6025,0.8406601,0.25377101831748783,0.186,241.382
10014201,0.836,0.8158891,5007.25,1.0861912,0.145099114780735,0.022,272.895
10018791,1.161,2.0476458,5416.6665,0.90161896,0.3543908553047974,0.662,198.425
10018805,0.952,1.1290039,5214.8364,1.0279188,0.1816737882974994,0.1795,191.71
10018820,0.948,0.79227453,5186.7266,1.0315275,0.13615717100352884,0.0735,460.637
10018842,0.918,0.8696486,5592,0.87617016,0.034571656195097146,0.016,36.381
10024591,0.91,0.89329964,5306.3335,1.0133343,0.13053720537346541,0.086,170.12
10024620,0.938,0.8806295,5345,0.99460125,0.09565651337507927,0.0827,110.947
10024686,1.132,1.6954151,5745,0.87606144,0.22234638824348707,NaN,118.452
10028414,1.125,1.1378359,5439.7803,0.9021034,0.17346214851189654,0.163,205.31
10028447,1.015,1.0960937,5633.5,0.86134434,0.1577999226524932,0.1243,137.429
10028450,1.154,1.1971629,5756,0.85246754,0.21950065454779838,NaN,208.678
